feedback_id,launch_id,cluster_id,source_channel,customer_segment,feedback_text,category,subcategory,severity,status,confidence_score,confidence_level,human_review_needed,likely_owner,recommended_route,created_at,ingested_at
FB-2030,1,1,Partner escalation,Workspace owners,"Pilot admins keep encountering tenant metadata errors during connector setup, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 4,Resolved,91,High,No,Identity Engineering,Resolved by Identity Engineering,2026-05-04T00:33:10Z,2026-05-04T02:03:10Z
FB-2031,1,1,Partner escalation,Enterprise admins,"Security reviewers flagged tenant metadata errors during connector setup, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 4,Routed,83,Medium,No,Identity Engineering,Support -> Identity Engineering,2026-05-03T17:46:41Z,2026-05-03T17:46:41Z
FB-2032,1,1,Internal triage,Enterprise admins,"Workspace owners reported setup failures after the identity callback completes, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 3,New,95,High,No,Identity Engineering,Intake -> Identity Engineering triage,2026-05-08T14:48:25Z,2026-05-08T16:48:25Z
FB-2033,1,1,Partner escalation,Enterprise admins using SSO,"Security reviewers flagged unclear SSO error states in the launch workspace, preventing admins from completing setup.",Authentication / SSO,Authentication setup,Sev 3,Routed,95,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-20T10:20:34Z,2026-05-20T10:25:34Z
FB-2034,1,1,Admin interview,Security reviewers,"The admin flow stopped after sign-in, but the team could not tell whether the issue was SSO configuration or connector setup.",Authentication / SSO,Authentication setup,Sev 3,Resolved,68,Low,Review recommended,Identity Engineering,Resolved by Identity Engineering,2026-05-07T03:54:29Z,2026-05-07T04:24:29Z
FB-2035,1,1,Internal triage,Enterprise admins using SSO,"Security reviewers reported unclear SSO error states in the launch workspace, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 3,Routed,96,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-02T14:31:53Z,2026-05-02T14:49:53Z
FB-2036,1,1,Partner escalation,Enterprise admins using SSO,"Enterprise admins using SSO flagged blocked sign-in checks before connector authorization, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 2,Resolved,91,High,No,Identity Engineering,Resolved by Identity Engineering,2026-05-04T10:58:36Z,2026-05-04T11:03:36Z
FB-2037,1,1,Launch office hours,Enterprise admins using SSO,"Security reviewers are seeing tenant metadata errors during connector setup, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 3,Routed,76,Medium,Review recommended,Identity Engineering,Support -> Identity Engineering,2026-05-03T14:37:29Z,2026-05-03T15:22:29Z
FB-2038,1,1,Launch office hours,Workspace owners,"Workspace owners are seeing setup failures after the identity callback completes, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 3,In progress,77,Medium,Review recommended,Identity Engineering,Support -> Identity Engineering active workstream,2026-05-12T16:35:46Z,2026-05-12T16:35:46Z
FB-2039,1,1,Partner escalation,Security reviewers,"Pilot admins reported unclear SSO error states in the launch workspace, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 4,Routed,92,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-03T03:34:25Z,2026-05-03T07:34:25Z
FB-2040,1,1,Launch office hours,Enterprise admins,"Workspace owners reported unclear SSO error states in the launch workspace, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 4,Routed,89,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-07T19:43:44Z,2026-05-07T21:43:44Z
FB-2041,1,1,Admin interview,Workspace owners,"Enterprise admins using SSO flagged unclear SSO error states in the launch workspace, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 2,New,92,High,No,Identity Engineering,Intake -> Identity Engineering triage,2026-05-11T23:04:10Z,2026-05-11T23:34:10Z
FB-2042,1,1,Admin interview,Enterprise admins using SSO,"Security reviewers keep encountering blocked sign-in checks before connector authorization, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 3,Needs review,72,Low,Review recommended,Product Ops,Intake -> Product Ops review before final routing,2026-05-09T08:56:20Z,2026-05-09T10:56:20Z
FB-2043,1,1,Launch office hours,Workspace owners,"Security reviewers are seeing blocked sign-in checks before connector authorization, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 3,Routed,89,High,No,Identity Engineering,Support -> Identity Engineering,2026-05-13T09:44:01Z,2026-05-13T11:14:01Z
FB-2044,1,1,Support ticket,Enterprise admins,"Pilot admins reported setup failures after the identity callback completes, slowing launch readiness testing.",Authentication / SSO,Authentication setup,Sev 3,Resolved,95,High,No,Identity Engineering,Resolved by Identity Engineering,2026-05-14T23:02:16Z,2026-05-14T23:02:16Z
FB-2045,1,1,Partner escalation,Enterprise admins,"Workspace owners keep encountering setup failures after the identity callback completes, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 2,Routed,71,Low,Review recommended,Identity Engineering,Support -> Identity Engineering,2026-05-02T18:16:05Z,2026-05-03T00:16:05Z
FB-2046,1,1,Launch office hours,Enterprise admins using SSO,"Pilot admins keep encountering setup failures after the identity callback completes, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 4,Resolved,78,Medium,Review recommended,Identity Engineering,Resolved by Identity Engineering,2026-05-01T12:39:01Z,2026-05-01T12:57:01Z
FB-2047,1,1,Partner escalation,Security reviewers,"Enterprise admins using SSO reported tenant metadata errors during connector setup, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 4,In progress,94,High,No,Identity Engineering,Support -> Identity Engineering active workstream,2026-05-11T22:06:20Z,2026-05-11T22:24:20Z
FB-2048,1,1,Internal triage,Workspace owners,"Workspace owners keep encountering blocked sign-in checks before connector authorization, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 2,Resolved,97,High,No,Identity Engineering,Resolved by Identity Engineering,2026-05-10T09:22:31Z,2026-05-10T09:27:31Z
FB-2049,1,1,Support ticket,Enterprise admins using SSO,"Workspace owners flagged setup failures after the identity callback completes, creating direct escalation requests.",Authentication / SSO,Authentication setup,Sev 2,Resolved,95,High,No,Identity Engineering,Resolved by Identity Engineering,2026-05-16T23:00:52Z,2026-05-16T23:00:52Z
FB-2050,1,1,Partner escalation,Security reviewers,"Security reviewers reported blocked sign-in checks before connector authorization, leaving connector onboarding blocked.",Authentication / SSO,Authentication setup,Sev 2,In progress,97,High,No,Identity Engineering,Support -> Identity Engineering active workstream,2026-05-19T18:39:09Z,2026-05-19T19:09:09Z
FB-2051,1,2,Launch office hours,Customer success teams,"Workspace owners are unsure about the difference between connector owner and workspace admin access, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 2,In progress,79,Medium,Review recommended,Product Ops,Support -> Product Ops active workstream,2026-05-14T21:22:42Z,2026-05-14T21:27:42Z
FB-2052,1,2,Customer success note,External partners,"External partners asked for clarification on which workspace permissions are required before connector setup, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 4,Needs review,81,Medium,Review recommended,Product Ops,Triage -> Product Ops review,2026-05-03T22:40:17Z,2026-05-03T22:52:17Z
FB-2053,1,2,Customer success note,Workspace owners,"Workspace owners keep confusing which workspace permissions are required before connector setup, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 4,Routed,94,High,No,Product Ops,Support -> Product Ops,2026-04-30T09:26:28Z,2026-04-30T15:26:28Z
FB-2054,1,2,Support ticket,External partners,"Enterprise admins keep confusing whether viewers can validate connector permissions, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 4,Needs review,80,Medium,Review recommended,Product Ops,Triage -> Product Ops review,2026-05-05T16:44:35Z,2026-05-05T20:44:35Z
FB-2055,1,2,Launch office hours,External partners,"External partners keep confusing which workspace permissions are required before connector setup, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 2,Needs review,83,Medium,Review recommended,Product Ops,Triage -> Product Ops review,2026-05-02T03:20:57Z,2026-05-02T04:50:57Z
FB-2056,1,2,In-product feedback,Enterprise admins,"External partners keep confusing the approval path for shared knowledge sources, creating repeated setup questions.",Permissions,Access model clarity,Sev 2,Routed,90,High,No,Product Ops,Support -> Product Ops,2026-05-20T00:07:31Z,2026-05-20T00:25:31Z
FB-2057,1,2,Partner office hours,Enterprise admins,"Customer success teams are unsure about which workspace permissions are required before connector setup, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 3,New,90,High,No,Product Ops,Intake -> Product Ops triage,2026-05-09T07:17:48Z,2026-05-09T08:17:48Z
FB-2058,1,2,Support ticket,External partners,"External partners are unsure about which workspace permissions are required before connector setup, causing avoidable support tickets.",Permissions,Access model clarity,Sev 3,Routed,93,High,No,Product Ops,Support -> Product Ops,2026-05-08T14:04:45Z,2026-05-08T14:34:45Z
FB-2059,1,2,In-product feedback,External partners,"Enterprise admins misread the approval path for shared knowledge sources, creating repeated setup questions.",Permissions,Access model clarity,Sev 4,Needs review,73,Low,Review recommended,Product Ops,Intake -> Product Ops review before final routing,2026-05-21T04:01:04Z,2026-05-21T04:31:04Z
FB-2060,1,2,Customer success note,External partners,"Workspace owners keep confusing which workspace permissions are required before connector setup, creating repeated setup questions.",Permissions,Access model clarity,Sev 3,Needs review,75,Medium,Review recommended,Product Ops,Triage -> Product Ops review,2026-05-02T21:59:23Z,2026-05-02T22:59:23Z
FB-2061,1,2,Launch office hours,Customer success teams,"Enterprise admins are unsure about whether viewers can validate connector permissions, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Routed,90,High,No,Product Ops,Support -> Product Ops,2026-05-12T13:17:06Z,2026-05-12T14:47:06Z
FB-2062,1,2,Customer success note,External partners,The permissions message sounded correct to one admin but contradicted what another workspace owner expected.,Permissions,Access model clarity,Sev 2,Routed,79,Medium,Review recommended,Product Ops,Support -> Product Ops,2026-05-03T04:15:30Z,2026-05-03T10:15:30Z
FB-2063,1,2,In-product feedback,Enterprise admins,"External partners asked for clarification on the difference between connector owner and workspace admin access, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 4,In progress,93,High,No,Product Ops,Support -> Product Ops active workstream,2026-05-14T16:06:49Z,2026-05-14T16:24:49Z
FB-2064,1,2,Customer success note,Workspace owners,"Enterprise admins asked for clarification on the approval path for shared knowledge sources, creating repeated setup questions.",Permissions,Access model clarity,Sev 3,Needs review,78,Medium,Review recommended,Product Ops,Triage -> Product Ops review,2026-05-10T15:59:34Z,2026-05-10T16:04:34Z
FB-2065,1,2,Partner office hours,Enterprise admins,"Customer success teams misread the approval path for shared knowledge sources, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Resolved,75,Medium,Review recommended,Product Ops,Resolved by Product Ops,2026-05-03T21:10:47Z,2026-05-03T22:10:47Z
FB-2066,1,2,Customer success note,Workspace owners,"Customer success teams asked for clarification on the approval path for shared knowledge sources, creating repeated setup questions.",Permissions,Access model clarity,Sev 3,New,97,High,No,Product Ops,Intake -> Product Ops triage,2026-05-20T13:21:51Z,2026-05-20T13:21:51Z
FB-2067,1,2,Support ticket,Enterprise admins,"Customer success teams keep confusing whether viewers can validate connector permissions, creating repeated setup questions.",Permissions,Access model clarity,Sev 4,Routed,80,Medium,No,Product Ops,Support -> Product Ops,2026-05-10T00:21:43Z,2026-05-10T01:06:43Z
FB-2068,1,2,Launch office hours,Enterprise admins,"Customer success teams asked for clarification on the difference between connector owner and workspace admin access, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Needs review,82,Medium,Review recommended,Product Ops,Triage -> Product Ops review,2026-05-03T23:17:36Z,2026-05-03T23:22:36Z
FB-2069,1,2,Partner office hours,Enterprise admins,"External partners keep confusing the approval path for shared knowledge sources, causing avoidable support tickets.",Permissions,Access model clarity,Sev 4,Routed,97,High,No,Product Ops,Support -> Product Ops,2026-05-02T10:18:52Z,2026-05-02T10:48:52Z
FB-2070,1,2,Partner office hours,External partners,"External partners keep confusing the difference between connector owner and workspace admin access, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Needs review,76,Medium,Review recommended,Product Ops,Triage -> Product Ops review,2026-05-16T08:42:42Z,2026-05-16T08:54:42Z
FB-2071,1,2,Customer success note,Customer success teams,"External partners asked for clarification on which workspace permissions are required before connector setup, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Resolved,95,High,No,Product Ops,Resolved by Product Ops,2026-05-15T08:48:15Z,2026-05-15T12:48:15Z
FB-2072,1,2,In-product feedback,Enterprise admins,"Enterprise admins keep confusing which workspace permissions are required before connector setup, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 4,In progress,80,Medium,No,Product Ops,Support -> Product Ops active workstream,2026-05-16T04:08:23Z,2026-05-16T04:20:23Z
FB-2073,1,2,In-product feedback,Customer success teams,"Enterprise admins misread the approval path for shared knowledge sources, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Needs review,76,Medium,Review recommended,Product Ops,Intake -> Product Ops review before final routing,2026-05-11T01:31:53Z,2026-05-11T01:43:53Z
FB-2074,1,2,Launch office hours,Workspace owners,"Enterprise admins misread the approval path for shared knowledge sources, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 2,Needs review,73,Low,Review recommended,Product Ops,Triage -> Product Ops review,2026-05-17T13:53:26Z,2026-05-17T14:11:26Z
FB-2075,1,2,Partner office hours,External partners,"Enterprise admins asked for clarification on whether viewers can validate connector permissions, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 4,Resolved,95,High,No,Product Ops,Resolved by Product Ops,2026-05-13T20:21:45Z,2026-05-14T02:21:45Z
FB-2076,1,2,Customer success note,Enterprise admins,"Enterprise admins keep confusing whether viewers can validate connector permissions, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 3,New,91,High,No,Product Ops,Intake -> Product Ops triage,2026-05-20T01:40:20Z,2026-05-20T02:25:20Z
FB-2077,1,2,Launch office hours,Workspace owners,"Enterprise admins are unsure about whether viewers can validate connector permissions, creating repeated setup questions.",Permissions,Access model clarity,Sev 4,New,89,High,No,Product Ops,Intake -> Product Ops triage,2026-05-05T01:32:31Z,2026-05-05T02:02:31Z
FB-2078,1,2,Support ticket,Customer success teams,"Customer success teams keep confusing the difference between connector owner and workspace admin access, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 2,In progress,94,High,No,Product Ops,Support -> Product Ops active workstream,2026-05-13T21:30:47Z,2026-05-13T21:48:47Z
FB-2079,1,2,Customer success note,Customer success teams,"Enterprise admins asked for clarification on which workspace permissions are required before connector setup, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 2,Routed,88,High,No,Product Ops,Support -> Product Ops,2026-05-03T21:33:45Z,2026-05-03T22:18:45Z
FB-2080,1,2,Support ticket,Customer success teams,"Customer success teams asked for clarification on the approval path for shared knowledge sources, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Needs review,78,Medium,Review recommended,Product Ops,Intake -> Product Ops review before final routing,2026-05-07T15:09:41Z,2026-05-07T17:09:41Z
FB-2081,1,2,Partner office hours,External partners,"Enterprise admins asked for clarification on which workspace permissions are required before connector setup, creating repeated setup questions.",Permissions,Access model clarity,Sev 3,In progress,90,High,No,Product Ops,Support -> Product Ops active workstream,2026-05-14T19:04:28Z,2026-05-14T19:16:28Z
FB-2082,1,2,Support ticket,External partners,"Enterprise admins are unsure about the difference between connector owner and workspace admin access, causing avoidable support tickets.",Permissions,Access model clarity,Sev 3,Routed,97,High,No,Product Ops,Support -> Product Ops,2026-05-09T09:25:14Z,2026-05-09T09:25:14Z
FB-2083,1,2,Partner office hours,External partners,"Workspace owners are unsure about the difference between connector owner and workspace admin access, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Resolved,83,Medium,No,Product Ops,Resolved by Product Ops,2026-05-20T23:23:43Z,2026-05-21T05:23:43Z
FB-2084,1,2,In-product feedback,Enterprise admins,"External partners asked for clarification on whether viewers can validate connector permissions, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 4,Routed,87,High,No,Product Ops,Support -> Product Ops,2026-05-19T00:31:47Z,2026-05-19T01:31:47Z
FB-2085,1,2,Partner office hours,External partners,"Workspace owners misread the difference between connector owner and workspace admin access, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 4,In progress,90,High,No,Product Ops,Support -> Product Ops active workstream,2026-05-17T17:53:46Z,2026-05-17T18:53:46Z
FB-2086,1,2,Support ticket,Workspace owners,"External partners asked for clarification on which workspace permissions are required before connector setup, causing avoidable support tickets.",Permissions,Access model clarity,Sev 4,In progress,84,Medium,No,Product Ops,Support -> Product Ops active workstream,2026-05-21T15:45:35Z,2026-05-21T15:50:35Z
FB-2087,1,2,Support ticket,Customer success teams,"External partners keep confusing the approval path for shared knowledge sources, causing avoidable support tickets.",Permissions,Access model clarity,Sev 2,Routed,86,High,No,Product Ops,Support -> Product Ops,2026-05-09T21:17:09Z,2026-05-09T22:17:09Z
FB-2088,1,2,In-product feedback,Enterprise admins,"Enterprise admins keep confusing the approval path for shared knowledge sources, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 4,Routed,91,High,No,Product Ops,Support -> Product Ops,2026-05-08T07:39:54Z,2026-05-08T07:44:54Z
FB-2089,1,2,Launch office hours,External partners,"External partners keep confusing the approval path for shared knowledge sources, creating repeated setup questions.",Permissions,Access model clarity,Sev 3,Routed,91,High,No,Product Ops,Support -> Product Ops,2026-05-14T05:58:44Z,2026-05-14T06:43:44Z
FB-2090,1,2,Support ticket,Workspace owners,"Customer success teams are unsure about the approval path for shared knowledge sources, slowing handoff from admins to partner teams.",Permissions,Access model clarity,Sev 4,Routed,94,High,No,Product Ops,Support -> Product Ops,2026-05-16T11:14:27Z,2026-05-16T11:14:27Z
FB-2091,1,2,Launch office hours,External partners,"External partners keep confusing which workspace permissions are required before connector setup, causing avoidable support tickets.",Permissions,Access model clarity,Sev 3,In progress,97,High,No,Product Ops,Support -> Product Ops active workstream,2026-05-16T03:47:32Z,2026-05-16T09:47:32Z
FB-2092,1,2,Customer success note,Customer success teams,"Enterprise admins misread which workspace permissions are required before connector setup, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 3,Routed,82,Medium,No,Product Ops,Support -> Product Ops,2026-05-01T22:35:40Z,2026-05-02T00:05:40Z
FB-2093,1,2,In-product feedback,External partners,"External partners are unsure about which workspace permissions are required before connector setup, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 4,New,81,Medium,No,Product Ops,Intake -> Product Ops triage,2026-05-01T17:00:48Z,2026-05-01T18:00:48Z
FB-2094,1,2,In-product feedback,Workspace owners,"Customer success teams are unsure about the approval path for shared knowledge sources, making the launch checklist harder to complete.",Permissions,Access model clarity,Sev 2,In progress,75,Medium,Review recommended,Product Ops,Support -> Product Ops active workstream,2026-05-07T17:08:19Z,2026-05-07T17:53:19Z
